Column1,from,to,class,text
0,fk91,,0,"Hello, I have a minimal linux system: how can look at the ip settings?"
1,fk91,,0,ifdown and ifconfig are not available
2,fk91,,0,"@Maco: ip is there, thanks :)"
3,sometux,fk91,0,ifconfig
4,sometux,fk91,0,static or dhcp
5,fk91,,0,static
6,sometux,fk91,0,look at /etc/interface
7,fk91,sometux,0,"/etc/interfaces are not there, its a fli4l"
8,sometux,fk91,0,sorry look at /etc/network/interfaces
9,fk91,sometux,0,This file isnt there too.
10,sometux,fk91,0,i think you have to look in /proc
11,mrapple,,0,ok i just did sudo swapoff -a then sudo swapon -a and im getting 'swapon: /mnt/2048Mb.swap: stat failed: No such file or directory'
12,mrapple,,0,uh oh?
13,mrapple,,0,FilenameTypeSize Used Priority
14,mrapple,,0,/dev/sda5                               partition 6001656 0 -1
15,ikonia,mrapple,0,"not really, do a 'sudo swapon -s' what does it show"
16,mrapple,,0,"ok ikonia theres a 2048.swap in /mnt, but no 2048mb.swap"
17,ikonia,mrapple,0,"ok, that means you have a swap line in your /etc/fstab that points at /mnt/2048mb.swap, remove it"
18,ikonia,mrapple,0,look in the files /etc/fstab and remove that line
19,mrapple,ikonia,0,i changed it to 2048.swap
20,ikonia,mrapple,0,or ignore my advice.....and do what you want
21,tumenjargal,,1,hi guys
22,tumenjargal,,0,I've firefox problem.
23,tumenjargal,,0,help me
24,tumenjargal,,0,I'm using firefox 3.5.9 on ubuntu os.
25,tumenjargal,,0,always crush firefox
26,tumenjargal,,0,help help
27,tumenjargal,,0,I've disable all addon
28,tumenjargal,,0,then have crush problem
29,tumenjargal,,0,still now
30,nukelacity,tumenjargal,0,what do are you doing normally when it crashes?
31,nukelacity,tumenjargal,0,uses firebug and web developer or some addon like that
32,redvil,,0,hello there..anyone knows an iTunes equivalent app in Ubuntu?
33,ectospasm,redvil,0,I don't know of one that will interface with iTunes
34,ectospasm,redvil,0,there probably won't be one until Apple releases iTunes for Linux (heh.
35,ectospasm,redvil,1,heh.
36,ectospasm,redvil,1,heh.)
37,redvil,ectospasm,0,i already use rhythmbox for the mp3s but i need one that supports file transfer
38,ectospasm,redvil,0,from what to what?
39,redvil,ectospasm,0,thanks anyways..it's just that i've been 'googling' like crazy and couldn't find one
40,ectospasm,redvil,0,"'support file transfer' is too vague, transferring from what device to what device?"
41,redvil,ectospasm,0,i can transfer mp3 files from Ubunt to iPhone..but not other files..like pdf and lit files
42,ectospasm,redvil,0,gtkpod might be able to do that
43,redvil,ectospasm,0,"ok then, i'll give that one a try..thanks"
44,barberan,,1,hi THeRE
45,barberan,,0,Who is synergy user ?
46,barberan,,0,I've some questions
47,barberan,,0,привет блядь
48,airtonix,barberan,0,english please.
49,airtonix,barberan,0,what is the issue
50,airtonix,barberan,0,perhaps a picture then ?
51,airtonix,barberan,0,known bug
52,barberan,airtonix,0,"so, there is nothing to do with that?"
53,barberan,airtonix,0,;)
54,airtonix,barberan,0,"unfortunatly no, not until they fix it"
55,barberan,airtonix,1,thank you man
56,dekroning,,1,hi
57,dekroning,,0,where can i enabled autologin ?
58,dekroning,,0,i changed my password and it doesn't do 'autologin' anymore
59,mcl0vin_,dekroning,0,auto login to NASA or where?
60,dekroning,mcl0vin_,0,"sorry, autologin on my desktop (Xorg)"
61,dekroning,mcl0vin_,0,i'm using XFCE window manager
62,dekroning,mcl0vin_,0,gdm
63,dekroning,mcl0vin_,0,so i'm guessing it's autologin for GDM
64,dekroning,mcl0vin_,0,or if you do know more about auto login to NASA that's fine to
65,dekroning,mcl0vin_,0,video/audio stream via NASA or where ?
66,nimbiotics,,0,what do i have to install in order to be able to be able to share files with windows///
67,Ken8521,nimbiotics,0,samba is pretty easy..
68,nimbiotics,Ken8521,0,im a noob; just install the samba synaptyc packg??
69,nimbiotics,Ken8521,0,?
70,Ken8521,,0,ok
71,Ken8521,nimbiotics,0,"hold on, i'll get you a link that will help a lot"
72,nimbiotics,Ken8521,1,thx
73,Ken8521,nimbiotics,0,"are the linux and windows OS's that need access to the shared folders, online at the same time?"
74,nimbiotics,Ken8521,0,yes
75,Ken8521,nimbiotics,0,i used the first post in this thread... very simple w/ ubuntu 9.10   http://ubuntuforums.org/showthread.php?t=202605
76,nimbiotics,Ken8521,1,thank you very much!!
77,nimbiotics,Ken8521,0,!
78,Yoshario,,0,I can't open a program
79,Yoshario,,0,Something's wrong
80,jack__,Yoshario,0,are you using windows?
81,jack__,Yoshario,0,try in command line
82,Yoshario,jack__,0,how would I do that?
83,jack__,Yoshario,0,open terminal and tehn type the full path to the file
84,jack__,Yoshario,0,there is your problem
85,jack__,Yoshario,0,the .muh is probably a folder
86,Yoshario,jack__,0,I created it.
87,Yoshario,jack__,0,"I still get an error, though."
